,BBC_compound,BBC_dtime,BBC_neg,BBC_neu,BBC_pos,CBS_compound,CBS_dtime,CBS_neg,CBS_neu,CBS_pos,CNN_compound,CNN_dtime,CNN_neg,CNN_neu,CNN_pos,Fox_compound,Fox_dtime,Fox_neg,Fox_neu,Fox_pos,NYTimes_compound,NYTimes_dtime,NYTimes_neg,NYTimes_neu,NYTimes_pos
0,0.0,Sun Apr 08 15:31:00 +0000 2018,0.0,1.0,0.0,0.4199,Sun Apr 08 15:00:00 +0000 2018,0.0,0.92,0.08,-0.2023,Sun Apr 08 15:30:09 +0000 2018,0.167,0.725,0.109,-0.2263,Sun Apr 08 15:26:29 +0000 2018,0.091,0.909,0.0,0.0,Sun Apr 08 15:32:02 +0000 2018,0.0,1.0,0.0
1,0.0,Sun Apr 08 15:11:04 +0000 2018,0.0,1.0,0.0,0.8313,Sat Apr 07 19:35:08 +0000 2018,0.0,0.799,0.201,0.3612,Sun Apr 08 15:00:13 +0000 2018,0.0,0.918,0.082,0.3818,Sun Apr 08 15:25:30 +0000 2018,0.0,0.902,0.098,0.2297,Sun Apr 08 15:17:04 +0000 2018,0.0,0.854,0.146
2,-0.2023,Sun Apr 08 13:54:07 +0000 2018,0.189,0.811,0.0,0.0,Sat Apr 07 18:28:03 +0000 2018,0.0,1.0,0.0,0.0,Sun Apr 08 14:30:13 +0000 2018,0.0,1.0,0.0,-0.5106,Sun Apr 08 15:21:16 +0000 2018,0.152,0.789,0.059,0.4685,Sun Apr 08 15:02:08 +0000 2018,0.0,0.844,0.156
3,0.875,Sun Apr 08 13:23:39 +0000 2018,0.0,0.607,0.393,0.4199,Sat Apr 07 16:30:02 +0000 2018,0.0,0.924,0.076,-0.0258,Sun Apr 08 14:00:08 +0000 2018,0.097,0.811,0.093,0.0,Sun Apr 08 15:16:31 +0000 2018,0.0,1.0,0.0,0.2732,Sun Apr 08 14:42:07 +0000 2018,0.098,0.711,0.191
4,0.2732,Sun Apr 08 13:03:04 +0000 2018,0.0,0.488,0.512,0.4389,Sat Apr 07 15:31:12 +0000 2018,0.0,0.928,0.072,-0.6249,Sun Apr 08 13:45:09 +0000 2018,0.175,0.825,0.0,-0.1779,Sun Apr 08 15:05:31 +0000 2018,0.134,0.866,0.0,0.4215,Sun Apr 08 14:27:03 +0000 2018,0.0,0.877,0.123
5,-0.0772,Sun Apr 08 11:00:15 +0000 2018,0.058,0.942,0.0,0.0,Fri Apr 06 21:10:18 +0000 2018,0.0,1.0,0.0,-0.6808,Sun Apr 08 13:30:07 +0000 2018,0.221,0.697,0.082,0.3818,Sun Apr 08 15:03:45 +0000 2018,0.0,0.822,0.178,0.0,Sun Apr 08 14:12:10 +0000 2018,0.0,1.0,0.0
6,0.5859,Sun Apr 08 10:15:06 +0000 2018,0.0,0.787,0.213,0.0,Fri Apr 06 17:00:00 +0000 2018,0.0,1.0,0.0,-0.8519,Sun Apr 08 13:28:29 +0000 2018,0.249,0.751,0.0,0.0,Sun Apr 08 14:57:07 +0000 2018,0.0,1.0,0.0,-0.34,Sun Apr 08 13:55:05 +0000 2018,0.194,0.806,0.0
7,0.3818,Sun Apr 08 10:01:07 +0000 2018,0.0,0.894,0.106,0.3164,Fri Apr 06 13:45:00 +0000 2018,0.0,0.959,0.041,0.2023,Sun Apr 08 13:26:23 +0000 2018,0.0,0.942,0.058,-0.6486,Sun Apr 08 14:50:32 +0000 2018,0.306,0.694,0.0,0.0,Sun Apr 08 13:47:11 +0000 2018,0.0,1.0,0.0
8,0.0,Sun Apr 08 09:08:02 +0000 2018,0.0,1.0,0.0,0.6964,Thu Apr 05 21:44:00 +0000 2018,0.0,0.883,0.117,0.3804,Sun Apr 08 13:18:41 +0000 2018,0.046,0.852,0.102,-0.4404,Sun Apr 08 14:37:32 +0000 2018,0.153,0.847,0.0,-0.5574,Sun Apr 08 13:30:06 +0000 2018,0.143,0.823,0.034
9,0.0,Sun Apr 08 08:17:18 +0000 2018,0.0,1.0,0.0,0.6597,Thu Apr 05 19:07:48 +0000 2018,0.0,0.759,0.241,-0.4019,Sun Apr 08 13:09:00 +0000 2018,0.091,0.909,0.0,-0.296,Sun Apr 08 14:32:31 +0000 2018,0.091,0.909,0.0,-0.6908,Sun Apr 08 13:00:16 +0000 2018,0.186,0.814,0.0
10,0.6369,Sun Apr 08 08:08:07 +0000 2018,0.0,0.792,0.208,-0.3875,Thu Apr 05 17:00:00 +0000 2018,0.082,0.88,0.038,0.0,Sun Apr 08 13:00:01 +0000 2018,0.0,1.0,0.0,0.0,Sun Apr 08 14:28:31 +0000 2018,0.0,1.0,0.0,-0.4404,Sun Apr 08 12:30:04 +0000 2018,0.14,0.789,0.072
11,0.3612,Sun Apr 08 07:02:06 +0000 2018,0.0,0.783,0.217,0.8217,Wed Apr 04 22:07:01 +0000 2018,0.0,0.844,0.156,0.4019,Sun Apr 08 12:30:05 +0000 2018,0.0,0.803,0.197,-0.34,Sun Apr 08 14:27:35 +0000 2018,0.146,0.854,0.0,0.6124,Sun Apr 08 12:00:16 +0000 2018,0.0,0.792,0.208
12,0.5719,Sat Apr 07 18:00:22 +0000 2018,0.0,0.748,0.252,0.7568,Wed Apr 04 21:48:07 +0000 2018,0.0,0.712,0.288,-0.8402,Sun Apr 08 12:01:30 +0000 2018,0.205,0.795,0.0,-0.4404,Sun Apr 08 14:26:57 +0000 2018,0.153,0.847,0.0,0.5423,Sun Apr 08 11:30:15 +0000 2018,0.098,0.721,0.18
13,0.0,Sat Apr 07 17:19:26 +0000 2018,0.0,1.0,0.0,0.8495,Wed Apr 04 21:47:26 +0000 2018,0.0,0.634,0.366,0.5096,Sun Apr 08 11:30:16 +0000 2018,0.071,0.762,0.167,-0.6249,Sun Apr 08 14:25:59 +0000 2018,0.215,0.785,0.0,-0.6486,Sun Apr 08 11:02:53 +0000 2018,0.346,0.654,0.0
14,-0.7269,Sat Apr 07 17:04:03 +0000 2018,0.405,0.523,0.072,0.4926,Wed Apr 04 21:46:13 +0000 2018,0.0,0.803,0.197,0.0772,Sun Apr 08 11:00:10 +0000 2018,0.0,0.966,0.034,0.4019,Sun Apr 08 14:23:39 +0000 2018,0.0,0.803,0.197,0.046,Sun Apr 08 11:00:08 +0000 2018,0.061,0.838,0.101
15,0.6515,Sat Apr 07 16:00:23 +0000 2018,0.0,0.581,0.419,-0.3182,Wed Apr 04 21:44:17 +0000 2018,0.095,0.905,0.0,-0.7096,Sun Apr 08 10:30:08 +0000 2018,0.237,0.648,0.115,0.7096,Sun Apr 08 14:22:02 +0000 2018,0.0,0.874,0.126,-0.9136,Sun Apr 08 10:52:19 +0000 2018,0.463,0.489,0.049
16,0.6908,Sat Apr 07 15:01:03 +0000 2018,0.0,0.769,0.231,-0.25,Wed Apr 04 18:02:13 +0000 2018,0.133,0.867,0.0,0.6486,Sun Apr 08 10:00:17 +0000 2018,0.0,0.798,0.202,-0.296,Sun Apr 08 14:18:50 +0000 2018,0.091,0.909,0.0,0.0,Sun Apr 08 10:30:07 +0000 2018,0.0,1.0,0.0
17,0.0,Sat Apr 07 14:33:46 +0000 2018,0.0,1.0,0.0,0.6239,Tue Apr 03 23:00:00 +0000 2018,0.0,0.911,0.089,0.128,Sun Apr 08 09:30:22 +0000 2018,0.082,0.818,0.1,-0.9022,Sun Apr 08 14:07:41 +0000 2018,0.381,0.619,0.0,0.0,Sun Apr 08 10:15:39 +0000 2018,0.0,1.0,0.0
18,0.0,Sat Apr 07 14:00:31 +0000 2018,0.0,1.0,0.0,0.0,Tue Apr 03 21:00:02 +0000 2018,0.0,1.0,0.0,-0.4019,Sun Apr 08 09:00:19 +0000 2018,0.109,0.891,0.0,0.0,Sun Apr 08 14:03:05 +0000 2018,0.0,1.0,0.0,0.1901,Sun Apr 08 10:00:17 +0000 2018,0.0,0.951,0.049
19,-0.5719,Sat Apr 07 13:00:20 +0000 2018,0.222,0.778,0.0,0.7096,Tue Apr 03 18:00:00 +0000 2018,0.0,0.877,0.123,0.4404,Sun Apr 08 08:30:26 +0000 2018,0.0,0.83,0.17,0.4767,Sun Apr 08 13:58:00 +0000 2018,0.068,0.769,0.163,0.0,Sun Apr 08 09:35:05 +0000 2018,0.0,1.0,0.0
20,0.0018,Sat Apr 07 12:07:08 +0000 2018,0.129,0.703,0.168,0.807,Tue Apr 03 05:17:01 +0000 2018,0.0,0.659,0.341,-0.9136,Sun Apr 08 08:00:06 +0000 2018,0.458,0.542,0.0,0.4019,Sun Apr 08 13:50:32 +0000 2018,0.0,0.769,0.231,0.2732,Sun Apr 08 09:17:06 +0000 2018,0.0,0.826,0.174
21,0.0,Sat Apr 07 11:19:19 +0000 2018,0.0,1.0,0.0,0.1513,Mon Apr 02 17:30:00 +0000 2018,0.051,0.884,0.065,-0.3182,Sun Apr 08 07:30:09 +0000 2018,0.082,0.872,0.046,0.0,Sun Apr 08 13:48:12 +0000 2018,0.0,1.0,0.0,0.0,Sun Apr 08 09:00:31 +0000 2018,0.0,1.0,0.0
22,0.0,Sat Apr 07 11:00:57 +0000 2018,0.0,1.0,0.0,0.7783,Sun Apr 01 17:00:03 +0000 2018,0.0,0.788,0.212,0.0,Sun Apr 08 07:01:24 +0000 2018,0.0,1.0,0.0,0.0,Sun Apr 08 13:46:09 +0000 2018,0.0,1.0,0.0,0.0258,Sun Apr 08 08:42:26 +0000 2018,0.184,0.628,0.188
23,0.69,Sat Apr 07 11:00:18 +0000 2018,0.0,0.749,0.251,0.7351,Sat Mar 31 18:00:00 +0000 2018,0.0,0.854,0.146,-0.1531,Sun Apr 08 06:30:03 +0000 2018,0.132,0.769,0.099,0.0,Sun Apr 08 13:45:22 +0000 2018,0.0,1.0,0.0,-0.4291,Sun Apr 08 08:24:53 +0000 2018,0.079,0.921,0.0
24,0.0,Sat Apr 07 10:26:52 +0000 2018,0.0,1.0,0.0,0.4199,Sat Mar 31 15:30:00 +0000 2018,0.0,0.938,0.062,0.0,Sun Apr 08 06:00:00 +0000 2018,0.0,1.0,0.0,0.0,Sun Apr 08 13:42:52 +0000 2018,0.0,1.0,0.0,-0.296,Sun Apr 08 08:07:22 +0000 2018,0.073,0.927,0.0
25,-0.6966,Sat Apr 07 10:05:06 +0000 2018,0.15,0.85,0.0,0.6688,Fri Mar 30 16:50:00 +0000 2018,0.0,0.891,0.109,0.128,Sun Apr 08 05:30:04 +0000 2018,0.116,0.741,0.143,-0.3199,Sun Apr 08 13:42:04 +0000 2018,0.092,0.853,0.055,-0.3182,Sun Apr 08 07:49:54 +0000 2018,0.161,0.839,0.0
26,-0.8658,Sat Apr 07 09:00:12 +0000 2018,0.338,0.662,0.0,0.0,Thu Mar 29 17:32:40 +0000 2018,0.0,1.0,0.0,0.4019,Sun Apr 08 05:00:11 +0000 2018,0.0,0.87,0.13,-0.6486,Sun Apr 08 13:41:18 +0000 2018,0.29,0.71,0.0,0.3612,Sun Apr 08 07:37:48 +0000 2018,0.0,0.815,0.185
27,0.0,Sat Apr 07 08:00:16 +0000 2018,0.0,1.0,0.0,0.6239,Thu Mar 29 17:30:02 +0000 2018,0.0,0.903,0.097,0.0258,Sun Apr 08 04:45:56 +0000 2018,0.174,0.645,0.181,0.6369,Sun Apr 08 13:40:15 +0000 2018,0.0,0.86,0.14,0.3612,Sun Apr 08 07:21:28 +0000 2018,0.0,0.828,0.172
28,0.34,Sat Apr 07 07:54:05 +0000 2018,0.0,0.906,0.094,0.3818,Tue Mar 27 21:00:01 +0000 2018,0.068,0.8,0.133,0.0,Sun Apr 08 04:30:04 +0000 2018,0.0,1.0,0.0,0.0,Sun Apr 08 13:32:21 +0000 2018,0.0,1.0,0.0,-0.3818,Sun Apr 08 07:06:04 +0000 2018,0.133,0.867,0.0
29,0.4588,Sat Apr 07 07:03:06 +0000 2018,0.0,0.769,0.231,0.296,Tue Mar 27 17:00:00 +0000 2018,0.0,0.95,0.05,-0.8402,Sun Apr 08 04:01:39 +0000 2018,0.205,0.795,0.0,0.0,Sun Apr 08 13:30:00 +0000 2018,0.0,1.0,0.0,0.0,Sun Apr 08 06:47:29 +0000 2018,0.0,1.0,0.0
30,0.0,Fri Apr 06 19:48:37 +0000 2018,0.0,1.0,0.0,0.508,Mon Mar 26 22:14:25 +0000 2018,0.0,0.88,0.12,-0.1531,Sun Apr 08 03:30:12 +0000 2018,0.132,0.769,0.099,0.5423,Sun Apr 08 13:29:20 +0000 2018,0.0,0.816,0.184,-0.8687,Sun Apr 08 06:29:24 +0000 2018,0.271,0.729,0.0
31,0.0,Fri Apr 06 18:07:07 +0000 2018,0.0,1.0,0.0,0.0,Mon Mar 26 20:42:48 +0000 2018,0.0,1.0,0.0,0.0,Sun Apr 08 03:00:13 +0000 2018,0.0,1.0,0.0,0.1531,Sun Apr 08 13:27:20 +0000 2018,0.078,0.821,0.101,-0.9062,Sun Apr 08 06:11:35 +0000 2018,0.637,0.363,0.0
32,0.3612,Fri Apr 06 17:32:05 +0000 2018,0.0,0.894,0.106,0.7959,Mon Mar 26 16:59:19 +0000 2018,0.0,0.786,0.214,0.0,Sun Apr 08 02:30:50 +0000 2018,0.0,1.0,0.0,0.0,Sun Apr 08 13:27:12 +0000 2018,0.0,1.0,0.0,-0.2263,Sun Apr 08 06:05:39 +0000 2018,0.147,0.853,0.0
33,0.0,Fri Apr 06 16:13:08 +0000 2018,0.0,1.0,0.0,0.807,Mon Mar 26 16:05:18 +0000 2018,0.0,0.799,0.201,-0.3818,Sun Apr 08 02:00:11 +0000 2018,0.224,0.776,0.0,-0.8126,Sun Apr 08 13:19:19 +0000 2018,0.262,0.699,0.038,0.7096,Sun Apr 08 05:47:07 +0000 2018,0.0,0.742,0.258
34,-0.1531,Fri Apr 06 16:08:04 +0000 2018,0.124,0.78,0.096,0.0,Sun Mar 25 23:57:34 +0000 2018,0.0,1.0,0.0,-0.8271,Sun Apr 08 01:34:44 +0000 2018,0.314,0.686,0.0,0.5106,Sun Apr 08 13:16:12 +0000 2018,0.0,0.864,0.136,0.0,Sun Apr 08 05:28:52 +0000 2018,0.0,1.0,0.0
35,-0.7777,Fri Apr 06 16:02:36 +0000 2018,0.332,0.621,0.047,0.5754,Sun Mar 25 17:15:25 +0000 2018,0.053,0.802,0.145,0.0,Sun Apr 08 01:30:08 +0000 2018,0.0,1.0,0.0,0.6249,Sun Apr 08 13:10:27 +0000 2018,0.0,0.788,0.212,0.0,Sun Apr 08 05:10:34 +0000 2018,0.0,1.0,0.0
36,0.6037,Fri Apr 06 15:23:45 +0000 2018,0.0,0.64,0.36,0.5399,Sat Mar 24 22:46:53 +0000 2018,0.0,0.801,0.199,0.5994,Sun Apr 08 01:00:09 +0000 2018,0.0,0.62,0.38,0.0,Sun Apr 08 13:10:21 +0000 2018,0.0,1.0,0.0,-0.34,Sun Apr 08 04:52:12 +0000 2018,0.231,0.769,0.0
37,0.8126,Fri Apr 06 15:22:01 +0000 2018,0.0,0.791,0.209,-0.34,Sat Mar 24 22:46:43 +0000 2018,0.185,0.7,0.115,0.0,Sun Apr 08 00:45:08 +0000 2018,0.0,1.0,0.0,-0.5994,Sun Apr 08 13:10:17 +0000 2018,0.178,0.822,0.0,0.5423,Sun Apr 08 04:50:03 +0000 2018,0.053,0.772,0.175
38,0.0,Fri Apr 06 15:20:18 +0000 2018,0.0,1.0,0.0,0.7003,Sat Mar 24 22:25:03 +0000 2018,0.0,0.791,0.209,0.0,Sun Apr 08 00:30:05 +0000 2018,0.0,1.0,0.0,0.3182,Sun Apr 08 13:04:16 +0000 2018,0.0,0.796,0.204,0.1531,Sun Apr 08 04:33:06 +0000 2018,0.0,0.904,0.096
39,0.0,Fri Apr 06 15:02:33 +0000 2018,0.0,1.0,0.0,0.0,Sat Mar 24 22:21:37 +0000 2018,0.0,1.0,0.0,-0.8271,Sun Apr 08 00:27:28 +0000 2018,0.303,0.697,0.0,0.0516,Sun Apr 08 12:56:40 +0000 2018,0.091,0.777,0.132,0.5487,Sun Apr 08 04:15:23 +0000 2018,0.0,0.871,0.129
40,0.5499,Fri Apr 06 15:02:05 +0000 2018,0.282,0.332,0.385,0.0,Sat Mar 24 22:21:34 +0000 2018,0.0,1.0,0.0,0.0,Sun Apr 08 00:20:06 +0000 2018,0.0,1.0,0.0,-0.8519,Sun Apr 08 12:37:57 +0000 2018,0.433,0.469,0.097,-0.5423,Sun Apr 08 03:56:21 +0000 2018,0.101,0.899,0.0
41,-0.5849,Fri Apr 06 14:30:39 +0000 2018,0.31,0.559,0.13,0.7184,Sat Mar 24 22:21:26 +0000 2018,0.0,0.667,0.333,-0.9022,Sun Apr 08 00:18:34 +0000 2018,0.268,0.732,0.0,0.4939,Sun Apr 08 12:11:47 +0000 2018,0.0,0.789,0.211,0.3182,Sun Apr 08 03:39:49 +0000 2018,0.0,0.922,0.078
42,0.0,Fri Apr 06 14:07:06 +0000 2018,0.0,1.0,0.0,0.9451,Sat Mar 24 22:21:23 +0000 2018,0.0,0.58,0.42,-0.6808,Sun Apr 08 00:10:43 +0000 2018,0.17,0.761,0.07,0.0,Sun Apr 08 11:48:46 +0000 2018,0.0,1.0,0.0,-0.296,Sun Apr 08 03:20:46 +0000 2018,0.18,0.82,0.0
43,-0.4215,Fri Apr 06 13:02:05 +0000 2018,0.171,0.741,0.088,0.6239,Sat Mar 24 20:00:02 +0000 2018,0.0,0.909,0.091,-0.8612,Sat Apr 07 23:49:29 +0000 2018,0.323,0.677,0.0,-0.2617,Sun Apr 08 11:37:46 +0000 2018,0.097,0.903,0.0,0.0,Sun Apr 08 03:01:34 +0000 2018,0.0,1.0,0.0
44,0.0,Fri Apr 06 12:18:09 +0000 2018,0.0,1.0,0.0,0.8697,Fri Mar 23 22:33:52 +0000 2018,0.0,0.765,0.235,0.0,Sat Apr 07 23:45:49 +0000 2018,0.0,1.0,0.0,0.1531,Sun Apr 08 11:25:51 +0000 2018,0.125,0.714,0.161,0.0,Sun Apr 08 02:45:24 +0000 2018,0.0,1.0,0.0
45,0.2023,Fri Apr 06 12:03:05 +0000 2018,0.0,0.899,0.101,0.4939,Fri Mar 23 22:33:04 +0000 2018,0.0,0.686,0.314,-0.6597,Sat Apr 07 23:40:05 +0000 2018,0.19,0.81,0.0,0.4767,Sun Apr 08 11:14:35 +0000 2018,0.0,0.78,0.22,0.0,Sun Apr 08 02:28:17 +0000 2018,0.0,1.0,0.0
46,0.8617,Fri Apr 06 11:32:15 +0000 2018,0.0,0.689,0.311,0.8997,Fri Mar 23 22:32:48 +0000 2018,0.0,0.645,0.355,-0.34,Sat Apr 07 23:30:49 +0000 2018,0.118,0.882,0.0,-0.8779,Sun Apr 08 11:11:42 +0000 2018,0.502,0.498,0.0,0.0,Sun Apr 08 02:11:12 +0000 2018,0.0,1.0,0.0
47,0.0,Fri Apr 06 11:00:06 +0000 2018,0.0,1.0,0.0,0.6514,Thu Mar 22 22:10:29 +0000 2018,0.0,0.907,0.093,-0.802,Sat Apr 07 23:30:34 +0000 2018,0.365,0.635,0.0,0.2732,Sun Apr 08 11:01:56 +0000 2018,0.068,0.81,0.122,0.0,Sun Apr 08 01:56:45 +0000 2018,0.0,1.0,0.0
48,0.0,Fri Apr 06 10:10:03 +0000 2018,0.0,1.0,0.0,0.7081,Thu Mar 22 20:52:02 +0000 2018,0.066,0.623,0.311,0.0,Sat Apr 07 23:15:07 +0000 2018,0.0,1.0,0.0,0.0,Sun Apr 08 10:49:37 +0000 2018,0.0,1.0,0.0,-0.6908,Sun Apr 08 01:49:46 +0000 2018,0.19,0.81,0.0
49,0.0,Fri Apr 06 08:58:33 +0000 2018,0.0,1.0,0.0,0.636,Thu Mar 22 00:23:38 +0000 2018,0.0,0.819,0.181,0.4019,Sat Apr 07 23:14:59 +0000 2018,0.0,0.868,0.132,-0.8271,Sun Apr 08 10:38:00 +0000 2018,0.367,0.633,0.0,0.6597,Sun Apr 08 01:33:12 +0000 2018,0.0,0.769,0.231
50,0.0,Fri Apr 06 08:30:51 +0000 2018,0.0,1.0,0.0,0.4588,Wed Mar 21 18:00:01 +0000 2018,0.0,0.933,0.067,0.0,Sat Apr 07 23:00:17 +0000 2018,0.0,1.0,0.0,-0.5267,Sun Apr 08 10:36:00 +0000 2018,0.112,0.888,0.0,-0.765,Sun Apr 08 01:14:22 +0000 2018,0.485,0.515,0.0
51,0.25,Fri Apr 06 08:08:50 +0000 2018,0.0,0.905,0.095,0.5106,Tue Mar 20 20:00:01 +0000 2018,0.0,0.918,0.082,0.0772,Sat Apr 07 22:45:07 +0000 2018,0.2,0.634,0.166,0.5859,Sun Apr 08 10:34:17 +0000 2018,0.0,0.858,0.142,0.0258,Sun Apr 08 01:12:03 +0000 2018,0.142,0.711,0.147
52,0.0,Fri Apr 06 08:00:17 +0000 2018,0.0,1.0,0.0,0.0,Tue Mar 20 17:58:43 +0000 2018,0.0,1.0,0.0,0.4404,Sat Apr 07 22:30:15 +0000 2018,0.0,0.884,0.116,-0.6597,Sun Apr 08 10:13:46 +0000 2018,0.444,0.556,0.0,0.0,Sun Apr 08 00:54:49 +0000 2018,0.0,1.0,0.0
53,0.4579,Fri Apr 06 07:00:09 +0000 2018,0.067,0.779,0.154,0.5562,Tue Mar 20 16:52:42 +0000 2018,0.0,0.826,0.174,-0.7783,Sat Apr 07 22:15:02 +0000 2018,0.293,0.578,0.129,-0.3506,Sun Apr 08 09:45:00 +0000 2018,0.053,0.947,0.0,0.0,Sun Apr 08 00:37:48 +0000 2018,0.0,1.0,0.0
54,-0.6908,Thu Apr 05 20:02:00 +0000 2018,0.176,0.824,0.0,0.0,Tue Mar 20 16:11:00 +0000 2018,0.0,1.0,0.0,0.0,Sat Apr 07 22:00:14 +0000 2018,0.0,1.0,0.0,-0.34,Sun Apr 08 09:30:00 +0000 2018,0.13,0.815,0.055,-0.5719,Sun Apr 08 00:17:33 +0000 2018,0.134,0.866,0.0
55,0.7096,Thu Apr 05 18:00:24 +0000 2018,0.0,0.629,0.371,0.7845,Mon Mar 19 21:02:26 +0000 2018,0.072,0.619,0.309,0.4404,Sat Apr 07 21:45:09 +0000 2018,0.0,0.756,0.244,-0.5719,Sun Apr 08 09:15:00 +0000 2018,0.132,0.813,0.055,0.25,Sun Apr 08 00:01:10 +0000 2018,0.138,0.652,0.21
56,0.0,Thu Apr 05 17:02:05 +0000 2018,0.0,1.0,0.0,0.0,Sun Mar 18 23:44:30 +0000 2018,0.0,1.0,0.0,0.0,Sat Apr 07 21:30:16 +0000 2018,0.0,1.0,0.0,0.681,Sun Apr 08 09:00:08 +0000 2018,0.027,0.816,0.157,-0.0258,Sat Apr 07 23:54:14 +0000 2018,0.184,0.634,0.181
57,-0.765,Thu Apr 05 16:00:17 +0000 2018,0.32,0.68,0.0,0.6514,Sun Mar 18 18:05:43 +0000 2018,0.0,0.787,0.213,-0.6486,Sat Apr 07 21:15:06 +0000 2018,0.264,0.736,0.0,0.5426,Sun Apr 08 09:00:02 +0000 2018,0.123,0.661,0.216,-0.2263,Sat Apr 07 23:38:00 +0000 2018,0.113,0.821,0.067
58,0.0,Thu Apr 05 15:55:28 +0000 2018,0.0,1.0,0.0,0.1867,Sun Mar 18 17:09:53 +0000 2018,0.0,0.92,0.08,-0.4767,Sat Apr 07 21:00:08 +0000 2018,0.181,0.819,0.0,0.0,Sun Apr 08 09:00:01 +0000 2018,0.0,1.0,0.0,0.7351,Sat Apr 07 23:21:07 +0000 2018,0.0,0.776,0.224
59,0.0,Thu Apr 05 14:34:17 +0000 2018,0.0,1.0,0.0,0.0,Sat Mar 17 19:00:02 +0000 2018,0.0,1.0,0.0,-0.9413,Sat Apr 07 20:45:08 +0000 2018,0.28,0.72,0.0,0.7964,Sun Apr 08 08:56:00 +0000 2018,0.0,0.69,0.31,0.0,Sat Apr 07 23:02:16 +0000 2018,0.0,1.0,0.0
60,0.0028,Thu Apr 05 12:59:08 +0000 2018,0.118,0.724,0.159,0.6166,Sat Mar 17 17:42:43 +0000 2018,0.0,0.845,0.155,0.34,Sat Apr 07 20:30:05 +0000 2018,0.0,0.844,0.156,0.0,Sun Apr 08 08:53:00 +0000 2018,0.0,1.0,0.0,-0.34,Sat Apr 07 22:53:21 +0000 2018,0.194,0.806,0.0
61,0.4588,Thu Apr 05 12:37:24 +0000 2018,0.0,0.75,0.25,0.8402,Sat Mar 17 14:00:03 +0000 2018,0.0,0.75,0.25,0.0,Sat Apr 07 20:15:04 +0000 2018,0.0,1.0,0.0,0.0,Sun Apr 08 08:50:00 +0000 2018,0.0,1.0,0.0,-0.3612,Sat Apr 07 22:50:31 +0000 2018,0.238,0.762,0.0
62,-0.2263,Thu Apr 05 11:56:05 +0000 2018,0.112,0.888,0.0,0.296,Fri Mar 16 22:53:21 +0000 2018,0.0,0.901,0.099,0.6705,Sat Apr 07 20:00:12 +0000 2018,0.086,0.552,0.362,0.0,Sun Apr 08 08:45:00 +0000 2018,0.0,1.0,0.0,-0.5267,Sat Apr 07 22:33:46 +0000 2018,0.206,0.794,0.0
63,0.0,Thu Apr 05 11:01:08 +0000 2018,0.0,1.0,0.0,0.0,Fri Mar 16 18:15:53 +0000 2018,0.0,1.0,0.0,-0.6597,Sat Apr 07 19:45:11 +0000 2018,0.253,0.747,0.0,0.6705,Sun Apr 08 08:40:00 +0000 2018,0.0,0.735,0.265,-0.1779,Sat Apr 07 22:13:50 +0000 2018,0.127,0.772,0.1
64,0.0,Thu Apr 05 10:26:16 +0000 2018,0.0,1.0,0.0,0.6514,Fri Mar 16 16:28:40 +0000 2018,0.0,0.829,0.171,0.128,Sat Apr 07 19:30:14 +0000 2018,0.17,0.566,0.264,0.0,Sun Apr 08 08:35:00 +0000 2018,0.0,1.0,0.0,0.0,Sat Apr 07 22:10:32 +0000 2018,0.0,1.0,0.0
65,0.4215,Thu Apr 05 10:22:47 +0000 2018,0.0,0.797,0.203,0.7088,Thu Mar 15 17:54:06 +0000 2018,0.0,0.763,0.237,0.25,Sat Apr 07 19:15:06 +0000 2018,0.092,0.761,0.147,-0.7269,Sun Apr 08 08:30:00 +0000 2018,0.112,0.86,0.028,0.34,Sat Apr 07 22:00:19 +0000 2018,0.0,0.893,0.107
